date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,high,low
"04/05/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.04,37.0,,,3.7,15.0,0.0,0.0,37.0,66,43
"04/06/2017, GT Craig NCore",0.3,3.0,21.0,20.0,0.032,30.0,,,4.2,18.0,1.0,1.0,30.0,59,35
"04/07/2017, GT Craig NCore",0.3,3.0,33.0,31.0,0.039,36.0,,,0.0,0.0,0.0,0.0,36.0,46,32
"04/08/2017, GT Craig NCore",0.5,6.0,43.0,41.0,0.037,34.0,,,5.2,22.0,3.0,4.0,41.0,59,29
"04/09/2017, GT Craig NCore",0.5,6.0,31.0,29.0,0.046,43.0,,,,,13.0,19.0,43.0,74,42
"04/10/2017, GT Craig NCore",,,25.0,24.0,0.051,47.0,,,,,12.0,17.0,47.0,80,61
"04/11/2017, GT Craig NCore",0.5,6.0,32.0,30.0,0.035,32.0,,,10.9,45.0,1.0,1.0,45.0,71,51
"04/12/2017, GT Craig NCore",0.4,5.0,31.0,29.0,0.033,31.0,,,5.4,23.0,0.0,0.0,31.0,58,47
"04/13/2017, GT Craig NCore",0.4,5.0,31.0,29.0,0.026,24.0,18.0,17.0,6.5,27.0,0.0,0.0,29.0,56,45
"04/14/2017, GT Craig NCore",0.5,6.0,40.0,38.0,0.038,35.0,24.0,22.0,6.6,28.0,2.0,3.0,38.0,66,46
"04/15/2017, GT Craig NCore",0.5,6.0,24.0,23.0,0.053,49.0,33.0,31.0,13.2,53.0,5.0,7.0,53.0,83,54
"04/16/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.047,44.0,17.0,16.0,7.7,32.0,1.0,1.0,44.0,80,62
"04/17/2017, GT Craig NCore",0.3,3.0,31.0,29.0,0.038,35.0,13.0,12.0,4.1,17.0,1.0,1.0,35.0,66,49
"04/18/2017, GT Craig NCore",0.4,5.0,30.0,28.0,0.046,43.0,24.0,22.0,5.8,24.0,1.0,1.0,43.0,72,46
"04/19/2017, GT Craig NCore",0.3,3.0,25.0,24.0,0.033,31.0,27.0,25.0,9.3,39.0,10.0,14.0,39.0,78,56
"04/20/2017, GT Craig NCore",0.4,5.0,29.0,27.0,0.031,29.0,22.0,20.0,16.0,59.0,1.0,1.0,59.0,82,54
"04/21/2017, GT Craig NCore",0.4,5.0,8.0,8.0,0.031,29.0,6.0,6.0,6.2,26.0,0.0,0.0,29.0,66,47
"04/22/2017, GT Craig NCore",0.2,2.0,13.0,12.0,0.033,31.0,5.0,5.0,3.1,13.0,1.0,1.0,31.0,52,42
"04/23/2017, GT Craig NCore",0.4,5.0,39.0,37.0,0.041,38.0,14.0,13.0,7.5,31.0,1.0,1.0,38.0,64,36
"04/24/2017, GT Craig NCore",0.6,7.0,44.0,42.0,0.049,45.0,30.0,28.0,8.2,34.0,10.0,14.0,45.0,75,42
"04/25/2017, GT Craig NCore",0.2,2.0,15.0,14.0,0.039,36.0,19.0,18.0,4.9,20.0,1.0,1.0,36.0,77,57
"04/26/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.041,38.0,63.0,55.0,11.0,46.0,9.0,13.0,55.0,82,56
"04/27/2017, GT Craig NCore",,,31.0,29.0,0.043,40.0,57.0,52.0,12.3,51.0,6.0,9.0,52.0,81,50
"04/28/2017, GT Craig NCore",0.4,5.0,23.0,22.0,0.032,30.0,22.0,20.0,9.7,40.0,1.0,1.0,40.0,64,47
"04/29/2017, GT Craig NCore",0.4,5.0,11.0,10.0,0.033,31.0,8.0,7.0,7.6,32.0,0.0,0.0,32.0,58,47
"04/30/2017, GT Craig NCore",0.3,3.0,13.0,12.0,0.03,28.0,17.0,16.0,8.2,34.0,2.0,3.0,34.0,86,49
